invoice_id,branch,category,quantity,unit_price,total,payment,rating,date
INV-0001,A,Beauty,7,108.04,756.28,Cash,5.5,2024-02-14
INV-0002,C,Food,7,270.1,1890.7,Ewallet,4.5,2024-11-15
INV-0003,C,Beauty,4,216.6,866.4,Ewallet,5.3,2024-07-10
INV-0004,C,Beauty,4,84.62,338.48,Cash,9.1,2024-06-22
INV-0005,A,Electronics,9,341.91,3077.19,Credit card,5.9,2024-01-22
INV-0006,A,Food,9,13.73,123.57,Credit card,9.9,2024-09-30
INV-0007,A,Electronics,8,264.14,2113.12,Ewallet,6.8,2024-01-27
INV-0008,C,Food,3,115.75,347.25,Cash,8.5,2024-08-14
INV-0009,C,Sports,3,472.52,1417.56,Cash,4.2,2024-01-12
INV-0010,B,Clothing,8,345.09,2760.72,Cash,9.6,2024-11-19
INV-0011,A,Electronics,3,161.81,485.43,Credit card,6.0,2024-09-24
INV-0012,A,Beauty,4,450.99,1803.96,Ewallet,5.3,2024-05-11
INV-0013,A,Sports,7,414.32,2900.24,Credit card,9.6,2024-08-31
INV-0014,C,Electronics,3,371.89,1115.67,Ewallet,8.7,2024-03-18
INV-0015,A,Sports,7,70.94,496.58,Cash,5.8,2024-03-31
INV-0016,C,Beauty,3,462.83,1388.49,Credit card,8.6,2024-04-29
INV-0017,B,Food,2,430.35,860.7,Cash,8.1,2024-09-13
INV-0018,A,Food,1,296.99,296.99,Credit card,5.3,2024-07-23
INV-0019,B,Food,7,199.11,1393.77,Ewallet,4.6,2024-01-20
INV-0020,A,Food,7,387.7,2713.9,Credit card,9.1,2024-04-25
INV-0021,C,Food,2,438.37,876.74,Credit card,5.3,2024-12-30
INV-0022,A,Clothing,7,155.22,1086.54,Credit card,6.5,2024-05-11
INV-0023,C,Electronics,9,153.58,1382.22,Credit card,8.7,2024-09-30
INV-0024,B,Clothing,5,221.15,1105.75,Credit card,9.8,2024-11-08
INV-0025,C,Clothing,5,195.69,978.45,Ewallet,9.2,2024-11-12
INV-0026,A,Beauty,4,196.11,784.44,Credit card,4.0,2024-06-30
INV-0027,C,Food,4,446.75,1787.0,Cash,8.7,2024-05-13
INV-0028,B,Beauty,4,210.04,840.16,Ewallet,6.4,2024-02-27
INV-0029,C,Sports,9,109.22,982.98,Credit card,9.7,2024-03-26
INV-0030,B,Sports,8,467.21,3737.68,Ewallet,9.1,2024-08-01
INV-0031,C,Beauty,9,270.21,2431.89,Ewallet,9.0,2024-11-06
INV-0032,A,Food,4,372.22,1488.88,Credit card,4.5,2024-01-17
INV-0033,C,Electronics,7,156.86,1098.02,Ewallet,9.7,2024-10-28
INV-0034,A,Sports,5,105.06,525.3,Credit card,6.4,2024-03-29
INV-0035,A,Food,8,171.24,1369.92,Credit card,9.2,2024-12-21
INV-0036,C,Beauty,7,285.32,1997.24,Cash,6.2,2024-04-16
