id,review,sentiment,label
1,"Great quality, fast delivery. Will definitely buy again!",2,Positive
2,Complete garbage. Stopped working after a week. Total scam.,0,Negative
3,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
4,Worst purchase ever. Does not work as advertised. Very disappointed.,0,Negative
5,Exceptional quality. Would highly recommend this to everyone.,2,Positive
6,Total disappointment. Save your money and buy from someone else.,0,Negative
7,"Product is okay, nothing special but does the job.",1,Neutral
8,Worst purchase ever. Does not work as advertised. Very disappointed.,0,Negative
9,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
10,"Brilliant product, delivered quickly, exactly as described.",2,Positive
11,Returned immediately. Completely useless and overpriced.,0,Negative
12,Returned immediately. Completely useless and overpriced.,0,Negative
13,It is alright. Does what it says. Not amazing but not bad.,1,Neutral
14,Satisfactory. Meets the basic requirements.,1,Neutral
15,"Product is okay, nothing special but does the job.",1,Neutral
16,"Cheap materials, bad design. Would not recommend to anyone.",0,Negative
17,Product arrived on time. Quality is acceptable.,1,Neutral
18,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
19,Average quality. Expected more for the price but it works.,1,Neutral
20,"Cheap materials, bad design. Would not recommend to anyone.",0,Negative
21,Extremely disappointed. Product looked nothing like the pictures.,0,Negative
22,Satisfactory. Meets the basic requirements.,1,Neutral
23,"Product is okay, nothing special but does the job.",1,Neutral
24,Love it! Perfect for my needs. Will order more soon.,2,Positive
25,"Great quality, fast delivery. Will definitely buy again!",2,Positive
26,Average quality. Expected more for the price but it works.,1,Neutral
27,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
28,"Brilliant product, delivered quickly, exactly as described.",2,Positive
29,Satisfactory. Meets the basic requirements.,1,Neutral
30,Worst purchase ever. Does not work as advertised. Very disappointed.,0,Negative
31,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
32,Average quality. Expected more for the price but it works.,1,Neutral
33,Worst purchase ever. Does not work as advertised. Very disappointed.,0,Negative
34,Product arrived on time. Quality is acceptable.,1,Neutral
35,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
36,Extremely disappointed. Product looked nothing like the pictures.,0,Negative
37,It is alright. Does what it says. Not amazing but not bad.,1,Neutral
38,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
39,"Great quality, fast delivery. Will definitely buy again!",2,Positive
40,Outstanding customer service and the product is amazing.,2,Positive
41,Best purchase I made this year. Highly recommend to everyone.,2,Positive
42,Horrible product and even worse customer support. Avoid at all costs.,0,Negative
43,Product arrived on time. Quality is acceptable.,1,Neutral
44,Exceptional quality. Would highly recommend this to everyone.,2,Positive
45,Extremely disappointed. Product looked nothing like the pictures.,0,Negative
46,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
47,Extremely disappointed. Product looked nothing like the pictures.,0,Negative
48,Product arrived on time. Quality is acceptable.,1,Neutral
49,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
50,Super happy with my order. Everything arrived on time and works great.,2,Positive
51,Horrible product and even worse customer support. Avoid at all costs.,0,Negative
52,Average experience overall. Product is usable but not impressive.,1,Neutral
53,Complete garbage. Stopped working after a week. Total scam.,0,Negative
54,Arrived damaged and company refused to replace it. Awful experience.,0,Negative
55,Exceptional quality. Would highly recommend this to everyone.,2,Positive
56,"Fantastic product, excellent value for money. Very satisfied.",2,Positive
57,"Brilliant product, delivered quickly, exactly as described.",2,Positive
58,Satisfactory. Meets the basic requirements.,1,Neutral
59,Works as described. Nothing extraordinary but gets the job done.,1,Neutral
60,Poor quality and customer service was unhelpful. Never buying again.,0,Negative
61,Love it! Perfect for my needs. Will order more soon.,2,Positive
62,Terrible product! Broke after one day of use. Complete waste of money.,0,Negative
63,Poor quality and customer service was unhelpful. Never buying again.,0,Negative
64,Outstanding customer service and the product is amazing.,2,Positive
65,Incredible product! Far better than I expected. Five stars!,2,Positive
66,"Great quality, fast delivery. Will definitely buy again!",2,Positive
